QUADRO DE DISTÂNCIAS RODOVIÁRIAS ENTRE AS PRINCIPAIS CIDADES BRASILEIRAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ARACAJÚ;BELÉM;BELO HORIZONTE;BOA VISTA;BRASÍLIA;CAMPO GRANDE;CUIABÁ;CURITIBA;FLORIANÓPOLIS;FORTALEZA;GOIÂNIA;JOÃO PESSOA;MACEIÓ;MANAUS;NATAL;PALMAS;PORTO ALEGRE;PORTO VELHO;RECIFE;RIO BRANCO;RIO DE JANEIRO;SALVADOR;SANTOS;SÃO LUÍS;SÃO PAULO;TERESINA;VITÓRIA;
ARACAJÚ;;2079;1578;6000;1652;2765;2775;2595;2892;1183;1848;611;294;5215;788;1662;3296;4230;501;4763;1855;356;2249;1578;2187;1142;1408;ARACAJÚ
BELÉM;2079;;2824;6083;2120;2942;2941;3193;3500;1610;2017;2161;2173;5298;2108;1283;3852;4397;2074;4931;3250;2100;3005;806;2933;947;3108;BELÉM
BELO HORIZONTE;1578;2824;;4736;716;1453;1594;1004;1301;2528;906;2171;1854;3951;2348;1690;1712;3050;2061;3584;434;1372;658;2738;586;2302;524;BELO HORIZONTE
BRASÍLIA;1650;2140;741;4275;;1134;1133;1366;1673;2200;209;2245;1930;3490;2422;973;2027;2589;2135;3123;1148;1446;1087;2157;1015;1789;1239;BRASÍLIA
CAMPO GRANDE;2764;2942;1453;3836;1134;;694;991;1298;3407;935;3357;3040;3051;3534;1785;1518;2150;3247;2684;1444;2568;1086;2979;1014;2911;1892;CAMPO GRANDE
CUIABÁ;2773;2941;1594;3142;1133;694;;1679;1986;3406;934;3366;3049;2357;3543;1784;2206;1456;3255;1990;2017;2566;1686;2978;1614;2910;2119;CUIABÁ
CURITIBA;2595;3193;1004;4821;1366;991;1679;;300;3541;1186;3188;2871;4036;3365;2036;711;3135;3078;3669;852;2385;480;3230;408;3143;1300;CURITIBA
FLORIANÓPOLIS;2892;3500;1301;5128;1673;1298;1986;300;;3838;1493;3485;3168;4443;3662;2336;476;3442;3375;3976;1144;2682;777;3537;705;3450;1597;FLORIANÓPOLIS
FORTALEZA;1183;1611;2528;6548;2208;3407;3406;3541;3838;;2482;688;1075;5763;537;2035;4242;4862;800;5396;2805;1389;3199;1070;3127;634;2397;FORTALEZA
GOIÂNIA;1849;2017;906;4076;209;935;934;1186;1493;2482;;2442;2125;3291;2618;874;1847;2390;2332;2924;1338;1643;998;2054;926;1986;1428;GOIÂNIA
